507255505900015616|333834224|servicio completo fraude desastre espero transporte mejore nuevo alcalde |Wed Sep 03 19:55:11 +0000 2014|0|0|9
507255629824946176|2667501056|gracias tomaremos cuenta evitar molestias usuarios servicio|Wed Sep 03 19:55:41 +0000 2014|0|0|7
507255659058831361|469602944|video2 aficionado protestan contr informa servicio|Wed Sep 03 19:55:48 +0000 2014|0|0|6
507255774616514561|229191457|primer  servicio  pasa personas renegando x bus pasa largo  leen folletos|Wed Sep 03 19:56:15 +0000 2014|0|0|11
507255814466596865|343181677|mejora real servicio alimentadoras costo doble usuario conexion tren metropolitano|Wed Sep 03 19:56:25 +0000 2014|0|0|10
507255876223533056|18841512|ngel  mara hoy sido verdadero servicio|Wed Sep 03 19:56:39 +0000 2014|0|0|6
507255974827413504|78184512|puesta marcha servicio ocasion cada|Wed Sep 03 19:57:03 +0000 2014|0|0|5
507256106079768576|870507810|servicio creo funcionando gratis subo|Wed Sep 03 19:57:34 +0000 2014|0|0|5
507256227534233600|2584502414|faccebok puso volvio servicio haha|Wed Sep 03 19:58:03 +0000 2014|0|0|5
507256319712456706|380601032|solidaridad ladyvaguistas cada facebook permitir alabar servicio starbucks conquistadores|Wed Sep 03 19:58:25 +0000 2014|0|0|9
507256567109263360|229191457|cola entregan folletos toman molestia leerlos menos leer panel  dice 303 servicio |Wed Sep 03 19:59:24 +0000 2014|0|0|12
507256713809240065|594108267|servicio sabe opina|Wed Sep 03 19:59:59 +0000 2014|0|0|3
507256729126858753|235071687|vuelo dron rpp noticias tercer  servicio servicio|Wed Sep 03 20:00:03 +0000 2014|0|0|7
507257040851722242|298199190|cerraron momentneamente ampliar servicio|Wed Sep 03 20:01:17 +0000 2014|0|0|4
507257160552960000|2709064979|cayo culpemos servicio|Wed Sep 03 20:01:46 +0000 2014|0|0|3
507257522303283200|78184512|bueno comento hoy camin  cuadras  arenales acord exista servicio pajita |Wed Sep 03 20:03:12 +0000 2014|0|0|10
507257549830115328|18841512|ngel  mara verdadero servicio servicio|Wed Sep 03 20:03:18 +0000 2014|0|0|5
507257698581479424|22589796|esperan largas horas facebook regrese pueden esperar minutos bus servicio|Wed Sep 03 20:03:54 +0000 2014|0|0|10
507257825194565633|1363453567|hoy sub servicio siete personas dos buses esperaban avanzar llevar siete pasajeros|Wed Sep 03 20:04:24 +0000 2014|0|0|12
507257941746278400|460434648|servicio izquierda logrando frutos parece |Wed Sep 03 20:04:52 +0000 2014|0|0|5
507257996871995392|2644983042| per      servicio   situacinsentimental  lima  susana|Wed Sep 03 20:05:05 +0000 2014|0|0|5
507258007818743808|2654586379|servicio publicacin hoy click|Wed Sep 03 20:05:08 +0000 2014|0|0|4
507258220118036480|143172628|cayo red facebook culpemos servicio|Wed Sep 03 20:05:58 +0000 2014|0|0|5
507258272962068480|1363453567|servicio haba desorden chicas guiaban amables|Wed Sep 03 20:06:11 +0000 2014|0|0|6
